codigo_comuna,id_cuarentena,semana,activos_x10mil,nuevos_x10mil,activos_comienzo,comuna,capital_regional,capital_provincial,aeropuerto,puerto,poblacion_edad_15_a_64,poblacion_edad_0_a_4,poblacion_edad_5_a_9,poblacion_edad_10_a_15,poblacion_edad_15_a_19,poblacion_edad_20_a_24,poblacion_edad_25_a_29,poblacion_edad_30_a_34,poblacion_edad_35_a_39,poblacion_edad_40_a_44,poblacion_edad_45_a_49,poblacion_edad_50_a_54,poblacion_edad_55_a_59,poblacion_edad_60_a_64,poblacion_edad_65_a_69,poblacion_edad_70_a_74,poblacion_edad_75_a_79,poblacion_edad_80_y_mas,densidad_poblacional,hacinamiento,inmigrantes,idse,ips,indice_ruralidad
15101,1,3,4.22133531540848,2.0601732161323683,,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,1,4,3.0296664943123064,1.8177998965873836,,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,1,29.811918304033092,31.83169596690796,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,2,37.38608453981386,30.700620475698038,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,3,39.50685108583247,23.95456308169597,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,4,31.83169596690796,23.833376421923475,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,5,31.488333764219234,18.29918562564633,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,6,28.923216132368147,17.127714581178903,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,7,24.823067476732163,16.642967942088934,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
15101,2,8,22.66190537745605,14.138443640124095,23.30823422957601,Arica,1,0,1,1,148234,12572,17044,15726,17176,18043,18174,16498,15050,14750,13820,13323,11657,10173,8080,6535,4260,4470,51.58,3.05,15967,643.0,,39.69
